hyp	tgt
Wir müssen Menschen ermutigen, keine Angst vor Möglichkeiten zu haben, die sie erschrecken.	"Wir müssen Leute ermutigen, keine Angst zu haben vor Möglichkeiten, die sie vielleicht verängstigen."
Letztendlich, wenn wir vorwärts gehen, müssen wir Angst akzeptieren.	"Schließlich, beim Voranschreiten sollten wir die Angst willkommen heißen."
Man muss den Bären in einen Käfig stecken.	"Wir sollten den Bär in den Käfig stecken. (Lachen) Heißen Sie die Angst willkommen. Heißen Sie das Risiko willkommen. Jeweils einen großen Löffel voll, so heißen wir das Risiko willkommen."
Und letztendlich müssen wir Transparenz annehmen.	"Und schließlich, sollten wir Transparenz willkommen heißen."
Heute ist mehr denn je ein bisschen Ehrlichkeit weitreichend.	"Heutzutage, mehr als je zuvor, bringt uns ein bisschen Ehrlichkeit sehr weit."
Und das gesagt, durch Ehrlichkeit und Transparenz, mein gesamter Vortrag, die Transparenz anzunehmen, wurde Ihnen durch meine guten Freunde bei EMC gebracht, die für 7.100 Dollar die Namensrechte auf eBay gekauft haben. (Applaus) EMC verwandelt Big Data in Big Opportunity für Organisationen überall auf der Welt.	"Und das gesagt, mit Ehrlichkeit und Transparenz, Mein gesamter Talk „Heißen Sie Transparenz willkommen“ wurde Ihnen präsentiert von meinen guten Freunden von EMC, die $7100 für die Namensrechte bei Ebay bezahlten. (Applaus) EMC: Große Daten werden für Organisationen auf der ganzen Welt in große Gelegenheiten verwandelt."
E.M.C. präsentiert Embrace.	EMC präsentiert „Heißen Sie Transparenz willkommen“
Vielen Dank.	Vielen Dank euch.
Also, Morgan, im Namen der Transparenz, was genau ist mit dem 747 passiert?	"June Cohen: Nun, Morgan, im Namen der Transparenz dies: Was ist nun genau mit den $7100 passiert?"
Das ist fantastisch.	MS: Das ist eine großartige Frage.
Ich habe in meiner Hosentasche einen Scheck ausgestellt auf die Elternorganisation der TED-Stiftung, die Sapling-Stiftung, einen Scheck für 7.100 Dollar, der auf die Teilnahme für das nächste Jahr verwendet werden soll.	"Ich habe in meiner Tasche einen Scheck, ausgestellt auf die Oberorganisation der TED-Organisation, die Sapling-Stiftung -- einen Scheck in Höhe von $7100, um meinen TED-Auftritt im nächsten Jahr zu finanzieren."
Was Sie also bekamen, war Folgendes: Ihr Name hier präsentiert meinen TED-Vortrag, dass Sie keine Ahnung haben, was das Thema ist, und abhängig vom Inhalt könnte es letztendlich in Ihren Gesichtern explodieren, besonders wenn ich Sie oder Ihr Unternehmen dumm dafür machen kann.	"Was man also bekam, war folgendes: Ihr Name hier präsentiert: Mein TEDTalk, von dem Sie keine Ahnung haben, was das Thema sein wird, und der Ihnen je nach Inhalt schlussendlich um die Ohren fliegen könnte, besonders, wenn ich Ihre Firma für ihre Beteiligung dumm dastehen ließe."
(Lachen)	(Lachen)
Aber, wie gesagt, es ist eine sehr gute Medienmöglichkeit. (Applaus) Sie wissen, wie viele Menschen diese TEDTalks anschauen. Es sind viele. Das ist übrigens nur der Arbeitstitel. (Gelächter) Trotzdem wusste ich, dass jemand die Namensrechte kaufen würde.	"Aber davon mal abgesehen, ist es eine sehr gute mediale Gelegenheit. (Lachen) Wissen Sie, wie viele Menschen diese TEDTalks ansehen? Eine ganze Menge. Das ist übrigens nur der Arbeitstitel. (Lachen) Trotz dieser Warnung also wusste ich, dass irgendjemand die Namensrechte kaufen würde."
Wenn Sie mich das vor einem Jahr gefragt hätten, hätte ich es Ihnen nicht mit Sicherheit sagen können.	"Wenn Sie mich dies nun vor einem Jahr gefragt hätten, wäre ich nicht in der Lage gewesen, Ihnen dies mit Gewissheit zu sagen."
Aber im neuen Projekt, an dem ich arbeite, meinem neuen Film, untersuchen wir die Welt des Marketing und der Werbung.	"Aber in dem neuen Projekt, an dem ich arbeite, mein neuer Film, untersuchen wir die Welt des Marketing, der Werbung."
Ich habe die letzten paar Jahre damit verbracht, mich in Situationen zu begeben, in denen es normalerweise sehr schwierig und gleichzeitig etwas gefährlich ist.	"Ich habe die letzten paar Jahre damit verbracht, mich in Situationen zu platzieren, die normalerweise sehr schwierig und gleichzeitig irgendwie gefährlich sind."
Und wie ich vorhin sagte, habe ich mich in einige ziemlich schreckliche Situationen verwickelt, aber nichts konnte mich vorbereiten, nichts konnte mich auf etwas so Schwieriges oder Gefährliches wie in die Räume mit diesen Leuten vorbereiten. (Gelächter) Sehen Sie, ich bin ein Filmemacher.	"Wie ich schon sagte, habe ich mich im Laufe der Jahre in einige ziemlich schreckliche Situationen begeben, aber nichts konnte mich vorbereiten, nichts konnte mir rüsten, auf irgendetwas so Schwieriges und so Gefährliches wie mit diesen Typen in einen Raum zu gehen. (Lachen) Wissen Sie, ich hatte die Idee für einen Film."
Ich möchte einen Film über Produktplatzierung, Marketing und Werbung machen, bei dem der ganze Film von Produktplatzierung, Marketing und Werbung finanziert wird.	"(Video) Morgan Spurlock: Was ich machen möchte, ist ein Film rund um Product Placement, Marketing und Werbung, wobei der ganze Film finanziert wird durch Product Placement, Marketing und Werbung."
"Der Film wird also ""Der größte Film aller Zeiten"" heißen. Was passiert also im ""Der größte Film aller Zeiten"" ist, dass alles, von oben bis unten, von Anfang bis Ende, von der Titelsponsorin, die Sie im Film sehen werden, die Marke X ist. Nun, diese Marke, die Marke der Qwest-Arena, das Staples-Center, diese Leute werden für immer mit dem Film verbunden sein."	"Und der Film wird ""The Greatest Movie Ever Sold"" heißen. Was also in ""The Greatest Movie Ever Sold"" passiert, ist, dass alles, von oben bis unten, vom Anfang bis zum Ende, vollkommen mit Marken versehen ist -- vom Titelsponsor, den Sie im Film sehen werden, das ist die Marke X. Nun diese Marke, das Qualcomm Stadion, das Staples Center... diese Leute werden mit dem Film in Ewigkeit verbunden sein – für immer."
Der Film erforscht diese ganze Idee.	"Und so wird der Film diese ganze Idee untersuchen -- (Michael Kassan: Das ist redundant.) Das ist was? (MK: Das ist redundant.) In Ewigkeit, für immer?"
"Ich bin ein unberechenbarer Kerl. ""Ja, das war mehr für Freunde."	Ich bin eine redundante Person. (MK: Wollte es nur sagen.) Das war mehr zur Betonung.
Aber nicht nur werden wir den Titelsponsor haben, sondern wir werden sicherstellen, dass wir alle möglichen Kategorien im Film verkaufen.	"Es war ""In Ewigkeit, für immer."" Aber wir werden nicht nur die Marke X als Titelsponsor haben, sondern wir werden sicher stellen, dass wir jede mögliche Kategorie im Film verkaufen werden."
Vielleicht verkaufen wir einen Schuh und er wird der beste Schuh, den Sie je getragen haben, der beste Wagen, den Sie je gefahren haben, der beste Film, den Sie je gesehen haben, der beste Drink, den Sie je getrunken haben, dank dem besten Film, den Sie je gesehen haben.	"So verkaufen wir vielleicht einen Schuh und er wird der großartigste Schuh, den Sie je getragen haben... das großartigste Auto, das Sie je gefahren Sind, aus ""The Greatest Movie Ever Sold"" das großartigste Getränk, das Sie je gehabt haben, eine Aufmerksamkeit von „The Greatest Movie Ever Sold“."
Die Idee geht also darum, dass die Marke nicht nur Teil unseres Lebens wird, sondern dass sie den Film finanziert.	"Xavier Kochhar: Die Idee ist also, abgesehen davon zu zeigen, dass Marken ein Teil des Lebens sind, eigentlich, sie dazu zu bringen, den Film zu finanzieren? (MS: Sie den Film finanzieren lassen.)"
Und tatsächlich zeigen wir den ganzen Prozess, wie es funktioniert.	"MS: Und wir zeigen tatsächlich den ganzen Prozess davon, wie es funktioniert."
Das Ziel dieses ganzen Films ist Transparenz.	Das Ziel des ganzen Films ist Transparenz.
Ich ging ins Gefängnis. Schwierig.	Ich bin ins Gefängnis gegangen -- schwierig.
Sie werden sehen, wie das Ganze in diesem Film abläuft.	Sie werden die ganze Sache im Film von statten gehen sehen.
Das ist also das ganze Konzept, der ganze Film, von Anfang bis Ende.	"Das ist also das ganze Konzept, der ganze Film, von Anfang bis Ende."
Und ich wünsche mir, dass C.G. dabei hilft.	"Und ich würde mich freuen, wenn CEG dabei helfen würde, dies zu verwirklichen."
Es ist lustig, denn als ich es zum ersten Mal hörte, war es der ultimative Respekt für ein Publikum.	"Robert Friedman: Wissen Sie, es ist lustig, denn als ich es zuerst gehört habe, es ist der ultimative Respekt für das Publikum."
Ich weiß nicht, wie receptiv die Leute darauf sein werden.	"Guy: Ich weiß aber nicht, wie empfänglich Leute sein werden."
"Haben Sie eine Perspektive? ""Ich möchte nicht den Begriff 'Winkel' benutzen, weil er eine negative Bedeutung hat."	"XK: Haben Sie eine Perspektive -- Ich möchte nicht „Blickwinkel“ benutzen, denn das hat eine negative Konnotation -- aber wissen Sie, wie sich das entwickeln wird? (MS: Keinen Plan.)"
Wie viel Geld hat das gekostet?	"Wie viel Geld wird benötigt, um das zu realisieren?"
1,5 Millionen -- gut.	"MS: 1,5 Millionen. (DC: Okay.)"
Ich glaube, Sie werden es schwer haben, sie zu treffen, aber ich glaube, es ist sicherlich wert, einige wirklich große, offensichtliche Marken zu verfolgen.	"John Kamen: Ich denke, dass es schwer wird, sie zu treffen, aber ich denke, es ist es auf jeden Fall Wert, einige wirklich bekannte Marken anzusprechen."
Wer weiß, vielleicht haben wir bis zur Veröffentlichung Ihres Films ein paar blöder Idioten ausgesehen.	"XK: Wer weiß, wenn der Film dann raus kommt, sehen wir vielleicht wie eine Horde Vollidioten aus."
Was denken Sie, wie wird die Reaktion sein?	"MS: Was glauben Sie, wie die Antwort sein wird?"
Die Antwort wird meistens nein sein.	Stuart Ruderfer: Die Antwort wird höchst wahrscheinlich „Nein“ sein.
Ich habe in einer Kohlemine gearbeitet. Gefährlich.	Ich habe in einem Kohlebergwerk gearbeitet -- gefährlich.
Es ist schwierig, weil der Filmemacher schwierig ist, weil ich schwierig bin.	MS: Aber ist es eine schwierige Sache wegen des Films oder eine schwierige Sache wegen mir?
Beides.	JK: Beides.
Ich meine, nicht so optimistisch.	"MS:... Bedeutet also, nicht so optimistisch."
Kannst du mir helfen? Ich brauche Hilfe.	"Also, mein Herr, können Sie mir helfen? Ich brauche Hilfe."
Wissen Sie was?	MK: Ich kann helfen.
Okay, gut, gut, großartig.	MS: Okay. (MK: Gut.) Fantastisch.
Wir müssen die Marke herausfinden.	"MK: Wir müssen überlegen, welche Marken."
Ja, das ist die Herausforderung, wenn man sich die Leute ansieht, mit denen man zu tun hat.	"MS: Ja. (MK: Das ist eine Herausforderung.) Wenn Sie sich die Leute anschauen, mit denen Sie es zu tun haben..."
Wir haben einige Orte, wo wir hingehen können. Okay. Okay, schalten wir die Kamera ein.	"MK: Es gibt einige Stellen, an die wir uns wenden können. (MS: Okay.) Stellen Sie die Kamera aus."
"Ich dachte: ""Schalten wir die Kamera aus, machen wir eine Off-the-Record-Konversation."" Es stellt sich heraus, dass es wirklich bedeutet: ""Wir wollen nichts mit deinem Film zu tun haben."""	"MS: Ich dachte, „Stellen Sie die Kamera aus“ würde bedeuten, dass wir ein Hintergrundgespräch führen wollten. Es stellte sich heraus, dass es in Wirklichkeit bedeutete, „Wir wollen mit Ihrem Film nichts zu tun haben.“"
Und genau so, einer nach dem anderen, verschwanden plötzlich all diese Unternehmen.	"MS: Und einfach so verschwanden all diese Firmen, eine nach der anderen."
Keiner von ihnen wollte etwas mit diesem Film zu tun haben. Ich war erstaunt. Sie wollten absolut nichts mit diesem Projekt zu tun haben.	Keine wollte etwas mit dem Film zu tun haben. Ich war erstaunt. Sie wollten absolut nichts mit dem Projekt zu tun haben.
Ich war überwältigt, denn ich dachte, das ganze Konzept, die Idee hinter der Werbung ist es, das Produkt so vielen Menschen wie möglich zu zeigen, um so viele Menschen wie möglich zu erreichen.	"Und ich war verwirrt, denn ich dachte, das ganze Konzept, die Idee von Werbung sei, dein Produkt so vielen Menschen wie möglich zu präsentieren, es so viele Menschen wie möglich sehen lassen."
Ich filmte in Kriegsgebieten, schwierig und gefährlich.	Ich habe in Kriegsgebieten gefilmt -- schwierig und gefährlich.
Normalerweise, in der heutigen Welt, ist diese Schnittstelle von neuen Medien und alten Medien, die fragmentierte Medienlandschaft, nicht die Idee, um dieses neue, aufregende Lieferfahrzeug zu bekommen, das die Nachricht an die Massen bringen wird.	"Besonders in der heutigen Welt, an dieser Schnittstelle von neuen und alten Medien und der zerstückelten Medienlandschaft -- ist es nicht die Idee, in diesem neuen aufregenden Vermittlungsinstrument zu sein, dass den Massen diese Nachricht bringt."
Das dachte ich mir.	"Nein, das war, was ich dachte."
Das Problem war, dass meine Idee einen fatalen Fehler hatte, und dieser Fehler war folgender:	"Aber sehen Sie, das Problem war, dass meine Idee einen fatalen Fehler hatte, und das war Folgender."
Nein, das war überhaupt kein Fehler.	"Eigentlich nein, das war überhaupt nicht der Fehler."
Das wäre kein Problem gewesen.	Das wäre überhaupt kein Problem gewesen.
Das wäre in Ordnung gewesen.	Das wäre okay gewesen.
Aber was dieses Bild repräsentiert, sind die Probleme.	"Aber das, wofür dieses Bild steht, ist ein Problem."
Wenn Sie eine Google-Bildersuche für Transparenz durchführen, kommt das heraus. (Gelächter) (Applaus) Das ist eines der ersten Bilder, das auftaucht.	"Sehen Sie, wenn Sie Transparenz bei der Google-Suche eingeben ist das -- (Lachen) (Applaus) Dies ist eins der ersten Bilder, das erscheint."
Und ich verbrachte 30 Tage damit, nichts als das hier zu essen. Am Anfang lustig. In der Mitte ein bisschen schwierig. Am Ende sehr gefährlich.	"Und ich habe 30 Tage damit verbracht, nichts als dies hier zu essen -- spaßig am Anfang, ein bisschen schwierig in der Mitte, sehr gefährlich am Ende."
Ich mag es, wie Sie Sir George spielen.	"Ich mag wirklich deine Art, Sergey Brin."
Nein. (Lachen) Das war das Problem: Transparenz, frei von Vortäuschung oder Täuschung, leicht erkannt oder durchsichtig, leicht verständlich, charakterisiert durch Sichtbarkeit oder Zugänglichkeit von Informationen, besonders in Bezug auf Geschäftspraktiken, die letzte Linie ist wahrscheinlich das größte Problem.	"Nun. (Lachen) Das war das Problem: Transparenz -- frei von Täuschung und Tücke, einfach zu entdecken und durchschauen; sofort verständlich; charakterisiert von Sichtbarkeit und dem Zugang zu Informationen, besonders, was Geschäftspraktiken angeht -- die letzte Zeile ist sicherlich das größte Problem."
Sehen Sie, wir hören heutzutage viel über Transparenz.	"Wissen Sie, wir hören derzeit eine ganze Menge über Transparenz."
Unsere Politiker sagen es, unser Präsident sagt es, sogar unsere CEOs sagen es.	"Unsere Politiker sagen es, unser Präsident sagt es, sogar unsere CEOs sagen es."
Aber plötzlich, wenn es um die Realität geht, ändert sich plötzlich etwas, aber warum? Nun, Transparenz ist beängstigend. (Lachen) Wie diese seltsame, stille, schreiende Bärin. (Lachen) Sie ist unvorhersehbar. (Lachen) Wie diese seltsame Landstraße.	"Doch wenn es soweit kommt, dass es umgesetzt werden soll, verändert sich irgendetwas. Aber warum? Nun, Transparenz ist Angst einflößend -- (Gebrüll) wie dieser merkwürdige Bär, der immernoch brüllt. (Lachen) Sie ist unvorhersagbar -- (Musik) (Lachen) wie diese seltsame Landstraße."
Und es ist auch sehr riskant. Was ist noch riskant? (Lachen) Was ist noch riskant?	Und sie ist auch sehr riskant. (Lachen) Was ist sonst noch riskant?
Ein ganzes Stück Kuhfett zu essen. (Lachen) Das ist sehr riskant.	Eine ganze Schale Cool Whip essen. (Lachen) Das ist sehr riskant.
Nein, als ich anfing, mit Firmen zu sprechen und ihnen zu erzählen, dass wir diese Geschichte erzählen wollten, sagten sie, nein, wir wollen, dass du eine Geschichte erzählst.	"Als ich also anfing, mit den Firmen zu sprechen und ihnen zu erzählen, dass wir diese Geschichte erzählen wollten, sagten sie: „Nein, wir wollen, dass du eine Geschichte erzählst."
